,target_URL,score,keywords,comment_avg
0,https://item.jd.com/10029054124103.html,96%,"倍感舒适(2)/
方便快捷(1)/
声音清亮(1)/
美观大方(1)/
简洁大方(1)/
做工一流(1)/",0.73526661
1,https://item.jd.com/100016110192.html,94%,"佩戴舒适(167)/
十分舒服(123)/
做工精细(117)/
质感一流(104)/
音质清晰(65)/
颜值够高(65)/
十分好用(57)/
极其好用(52)/
音质俱佳(41)/
反应灵敏(24)/
灵敏度强(21)/
颜色好看(18)/",0.70903707
2,https://item.jd.com/100036200024.html,93%,"佩戴舒适(298)/
十分舒服(267)/
简单方便(192)/
做工精细(168)/
音质清晰(146)/
十分好用(100)/
极其好用(94)/
不伤耳朵(94)/
声音清晰(59)/
蓝牙连接快(11)/
颜色纯正(4)/
工艺优良(3)/",0.7240489
3,https://item.jd.com/100007876272.html,93%,"佩戴舒适(57)/
十分舒服(48)/
简单方便(46)/
音质清晰(39)/
十分好用(28)/
毫无杂音(26)/
做工精细(23)/
音质俱佳(17)/
不易掉落(17)/
蓝牙连接快(5)/
连接稳定(5)/
颜色纯正(4)/",0.711420579
4,https://item.jd.com/10039608659030.html,93%,"十分舒服(22)/
佩戴舒适(16)/
音质清晰(15)/
十分好用(13)/
毫无杂音(10)/
不易掉落(9)/
声音清晰(8)/
做工精细(6)/
毫无延迟(6)/
颜色好看(4)/
颜色纯正(3)/
简单方便(3)/",0.699798221
5,https://item.jd.com/10028091731468.html,95%,"倍感舒适(47)/
十分大气(23)/
声音清亮(18)/
做工一流(17)/
质量上乘(10)/
运行超快(6)/
方便快捷(6)/
十分酷炫(5)/
毫无异味(4)/
灵敏顺畅(2)/
定位精确(2)/",0.710695682
6,https://item.jd.com/100006140298.html,92%,"十分舒服(3)/
使用良好(3)/
颜色好看(1)/
颜色不错(1)/
简单方便(1)/
使用舒适(1)/
声音悦耳(1)/
做工精细(1)/
小巧轻便(1)/
入耳舒服(1)/
颜值够高(1)/",0.704060226
7,https://item.jd.com/100024212883.html,94%,"十分舒服(174)/
佩戴舒适(160)/
颜值够高(153)/
十分漂亮(121)/
做工精细(115)/
颜色好看(94)/
简单方便(79)/
音质清晰(70)/
十分好看(70)/
颜色漂亮(55)/
毫无杂音(49)/
颜色不错(27)/",0.703863877
8,https://item.jd.com/100029340915.html,95%,"佩戴舒适(30)/
十分舒服(24)/
音质清晰(22)/
简单方便(21)/
通话清晰(12)/
声音清晰(12)/
毫无杂音(11)/
做工精细(10)/
十分漂亮(10)/
信号稳定(8)/
连接迅速(4)/
蓝牙稳定(2)/",0.719209472
9,https://item.jd.com/100038791123.html,94%,"佩戴舒适(33)/
十分舒服(25)/
小巧精致(16)/
做工精细(14)/
颜值够高(14)/
十分漂亮(12)/
音质俱佳(10)/
体感舒适(7)/
低音强劲(6)/
毫无延迟(3)/
灵敏度强(2)/
连接迅速(2)/",0.718316879
10,nan,,,0.718316879
11,https://item.jd.com/11959659715.html,96%,"佩戴舒适(11)/
十分舒服(8)/
做工精细(5)/
极其好用(5)/
音质清晰(4)/
使用良好(2)/
结实耐用(2)/
低音强劲(2)/
简单大气(1)/",0.719588277
12,https://item.jd.com/100032619412.html,93%,"佩戴舒适(4)/
音质清晰(4)/
毫无杂音(4)/
音质俱佳(3)/
简单方便(2)/
做工精细(2)/
颜色好看(1)/
十分好用(1)/
颜色靓丽(1)/
十分舒服(1)/
颜值够高(1)/",0.721710848
